FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F16079,86.72,21,31.73,3.25,3.38
F16081,93.11,10.1,14.08,2.9,2.66
F16083,87.56,13.3,15.97,2.91,2.88
F16085,91.63,11.3,11.4,3.64,3.43
F16087,87.39,20,25.54,2.97,3.03
F17001,92.19,13.2,18.77,2.76,2.73
F17003,85.77,36.5,49.6,1.98,2.21
F17005,89.94,14.7,17.73,3.02,3.1
F17007,86.68,10.6,19.4,2.72,2.58
F17009,82.37,11.3,16.74,2.96,2.86
F17011,90.65,14.1,21.82,3.09,3.01
F17013,93.62,11.9,9.86,3.47,3.27
F17015,90.12,15.1,14.97,3.27,3.38
F17017,83.37,15.5,19.18,2.6,2.6
F17019,94.89,15.4,28.52,2.8,2.81
F17021,88.24,14.9,21.14,3.02,2.95
F17023,93.21,14.8,18.81,2.97,3
F17025,87.65,18.5,16.41,3.02,3.12
F17027,90.17,7.5,18.96,3.38,3.33
F17029,90.94,17.5,25.81,2.78,2.62
F17031,87.67,16.6,29.8,3,2.82
F17033,86.1,14.6,17.11,2.77,2.84
F17035,91.92,11.3,7.94,2.73,2.71
F17037,92.14,11.2,24.05,2.82,2.87
F17039,92.74,13.2,18.52,3.38,3.29
F17041,83.47,11.5,12.1,3.05,2.92
F17043,93.27,6.3,15.29,3.28,3.34
F17045,90.01,17.6,23.82,3.03,2.89
F17047,92.17,13.9,15.94,3.4,3.4
F17049,93.08,11.4,18.6,3.34,3.04
F17051,86.47,18.6,23.68,2.9,2.84
F17053,91.17,13.5,25.24,3.19,3.18
F17055,88.76,21,24.64,2.94,2.64
F17057,89.34,16.5,19.17,2.82,2.85
F17059,86.58,21.1,31.84,2.53,2.67
F17061,92.79,17.3,24.54,3.03,2.88
F17063,93.56,7.4,23.04,3.08,3
F17065,86.51,19.1,16.35,3.2,3.18
F17067,93.44,15.6,22.97,3.31,3.04
F17069,86.73,27.8,15.78,2.62,2.91
F17071,92,14.5,11.9,2.63,2.39
F17073,92.43,12.4,25.76,2.84,2.88
F17075,88.08,14,18.83,3.36,3.05
F17077,92.64,24.2,35.76,2.53,2.55
F17079,92.62,12.8,17.31,3.46,3.29
F17081,89.06,18.8,28.28,2.86,2.61
F17083,93.06,11.8,16.72,3.17,3.53
F17085,92.39,11.6,19.04,3.09,3.42
F17087,82.25,16.5,24.41,3.07,2.87
F17089,85.67,8.9,18.9,2.75,2.84
F17091,88.26,17.3,32.31,2.74,2.74
F17093,92.29,4,15.03,3.25,3.02
F17095,88.66,18.3,26.78,2.92,2.67
F17097,90.8,8.3,17.89,3.13,3.09
F17099,89.6,15.5,21.55,2.86,2.78
F17101,84.96,17.7,23.95,3.06,2.84
F17103,89.61,12.7,19.81,2.62,2.53
F17105,89.78,12.9,26.04,2.91,2.88
F17107,89.95,14.6,18,3.06,3.08
F17109,95.22,18.8,13.77,2.63,2.39
F17111,93.3,7.3,15.09,3.11,3.15
F17113,96.23,9.8,22.23,3.07,3.07
F17115,91.28,18,30.67,2.57,2.4
F17117,91.56,14.5,21.82,3.03,2.93
F17119,92.71,12.6,23.45,3.07,2.92
F17121,89.46,20.9,25.31,2.92,2.64
F17123,92.39,12.3,15.77,3.29,2.94
F17125,89.11,20,17.87,2.83,2.93
F17127,88.71,22.9,18.69,3.08,3.43
F17129,95.25,10.8,21.26,3.17,2.97
F17131,92.22,12.1,17.87,2.91,2.82
F17133,95.81,3.5,11.72,3.73,3.69
F17135,88.05,17.1,20.07,2.93,2.96
F17137,89.81,15.1,28.79,3.24,2.74
F17139,86.03,11.8,17.88,3.06,3.03
F17141,90.42,11.1,17.98,3,3.14
F17143,91.8,19.7,31.12,2.78,2.75
F17145,83.25,16.5,36.57,2.96,2.83
F17147,93.8,7.1,13.65,3.33,3.14
F17149,89.68,18.1,26.2,3.01,2.46
F17151,88.8,22.9,18.57,2.66,2.82
F17153,89.64,31.6,45.33,2.17,2.34
F17155,93.01,11.5,20.81,2.93,3.05
F17157,84.8,15.5,24.81,2.97,3
F17159,90.96,15.7,19.53,2.85,3.04
F17161,88.86,18.8,30.39,2.65,2.6
F17163,91.69,19.3,36.25,2.91,2.86
F17165,87.4,21.4,26.06,2.88,2.44
F17167,92.5,16.2,33.1,2.88,2.91
F17169,91.04,14.6,18.75,2.6,2.72
F17171,93.9,17.3,25.07,2.42,2.67
F17173,93.38,12,16.95,3.4,3.26
F17175,89.48,15.4,14.9,3.05,3.08
F17177,92.06,17.2,31.74,2.71,2.65
F17179,93.17,9.3,17.34,3.06,3.06
F17181,89.2,18.6,19.29,2.92,2.73
F17183,89.63,29.2,33.79,2.68,2.74
F17185,91.63,13.9,27.39,2.77,3.08
F17187,88.01,14.2,27.34,2.73,2.89
F17189,91.64,9.1,19.44,3.28,3.01
F17191,87.45,19,14.52,3.32,3.06
F17193,90.86,20.4,22.81,3,2.93
F17195,91.35,13.8,24.58,3.24,2.99
F17197,91.55,9,17.89,3.13,3.15
F17199,92.39,18,27.94,3.16,3.2
F17201,87.81,20.1,32.15,2.53,2.48
F17203,94.53,6.7,13.81,3.33,3.34
F18001,85.01,20.9,13.73,2.97,2.99
F18003,89.9,15.9,27.54,3.11,3.07
F18005,90.04,11.1,21.69,3.11,3.24
F18007,89.5,16.6,22.17,3.11,3.46
F18009,91.07,19.4,21.16,3.1,3.21
F18011,94.58,4.6,15.11,3.53,3.68
F18013,93.36,14.5,23.67,3.28,3.44
F18015,88.02,10.4,16.12,3.25,3.27
F18017,85.25,14.9,26.17,2.96,2.99
F18019,90.23,9.8,24.11,3.15,3.18
F18021,90.78,16.7,28.69,3.39,3.61
F18023,86.76,13.4,17.53,3.01,3.28
F18025,82.76,23.1,17.75,3.12,3.58
F18027,75.97,14.9,12.25,3.26,3.44
F18029,90.27,9.5,20.36,3.31,3.51
F18031,91.68,11.7,11.96,3.47,3.59
F18033,91.02,11.4,19.15,2.92,3.13
F18035,90.21,20.9,31.42,3.06,3.2
F18037,89.38,7,16.57,3.35,3.68
F18039,81.12,12.7,22.72,2.95,3.06
F18041,83.46,17.7,37.15,2.89,2.85
F18043,90.96,17,24.81,3.22,3.52
F18045,88.72,13.2,21.73,3.35,3.3
F18047,88.68,10.3,19.71,3.12,3.25
F18049,86.9,19.8,18.01,2.93,2.99
F18051,92.42,11.6,23.87,3.11,3.11
F18053,88,23.8,28.26,2.96,2.94
F18055,88.03,16.1,20.17,3.28,3.32
F18057,97.13,4.6,13.66,3.61,3.81
F18059,93.03,5.8,15.31,3.4,3.63
F18061,89.79,11.5,17.04,3.27,3.43
F18063,94.28,5.5,13.44,3.7,3.79
F18065,90.24,13.2,19.84,3.29,3.39
F18067,90.84,16.2,29.09,3,3.12
F18069,91.88,11,21.61,3.19,3.1
F18071,88.8,11.2,23.91,2.89,3.11
F18073,89.36,10.5,16.55,3.57,3.45
F18075,88.15,22.5,17.92,3.3,3.35
F18077,89.31,15.9,19.3,3.15,3.24
F18079,88.27,16.3,25.38,3.05,3.24
F18081,91.92,7.9,20.18,3.38,3.47
F18083,88.31,19,23.77,3.06,3.03
F18085,86.76,10.1,24.38,3.06,3.2
F18087,61.07,12.5,9.43,3.08,3.28
F18089,89.13,25.2,34.18,3.04,3.13
F18091,89.3,17.6,31.15,3.12,3.25
F18093,89.07,15.3,23.74,3.16,3.12
F18095,89.14,15.6,30.1,3.02,3.19
F18097,86.74,19.1,35.73,2.79,2.8
F18099,85.17,11.8,14.01,3.13,3.16
F18101,87.38,14.1,16.9,3.08,3.47
F18103,86.14,18.7,24.76,3.11,3.24
F18105,93.03,13.7,25.37,3.4,3.56
F18107,90.42,13.6,21.03,2.95,3.12
F18109,88.14,11.1,20.96,3.11,3.26
F18111,85.99,14.8,17.5,3.23,3.31
F18113,83.85,12.8,16.02,3.02,3.15
F18115,87.82,14.6,17.98,3.11,2.83
F18117,83.53,18.7,32.03,3.1,3.16
F18119,85.35,17,22.93,2.8,2.8
F18121,83.79,20.6,21.78,3.13,3.43
F18123,90.48,13.1,15.54,3.26,3.3
F18125,87.72,11.4,12.69,2.94,3.13
F18127,93.5,9.9,20.16,3.51,3.62
F18129,92.56,10.2,15.78,3.38,3.63
F18131,88.03,15.5,26.08,3.13,3.37
F18133,88.92,13,16.62,3.29,3.51
F18135,88.71,18.5,29.56,2.98,3.19
F18137,90.22,12.3,18.94,3.27,3.4
F18139,88.16,13.1,18.94,3.21,3.42
F18141,89.81,16,26.84,2.91,2.99
F18143,80.75,18.1,21.62,3.01,3.19
F18145,88.31,11.8,19.93,3.14,3.49
F18147,91.14,9.3,14.02,3.7,4.07
F18149,84.94,20.2,13.11,2.88,3.07
F18151,91.37,13.4,10.75,2.91,2.97
F18153,88.27,18.4,23.18,3.35,3.45
F18155,83.96,20.7,24.06,3.04,2.8
F18157,92.11,14.5,21.34,3.29,3.35
F18159,90.82,8.8,10.61,3.19,3.29
F18161,87.75,15.1,23.36,3.48,3.48
F18163,90.28,17.6,31.81,2.96,3.08
F18165,91.69,15.9,29.24,3.17,3.32
F18167,89.63,28.4,29.53,3.18,3.16
F18169,89.71,13.6,27.37,3,3.09
F18171,93.16,12.3,16.35,2.88,2.9
F18173,94.13,7.5,16.3,3.52,3.6
F18175,85.19,18,16.27,3.14,3.36
F18177,87.79,21.8,26.72,3.06,3.07
F18179,92.25,10.7,18.79,3.21,3.31
F18181,89.23,13,23.67,3.1,3.22
F18183,91.45,8.6,23.86,3.12,3.18
F19001,95.04,14.3,17.12,2.99,2.86
F19003,93.32,16,18.21,3.23,3.3
F19005,88.43,16.6,12.73,3.04,2.97
F19007,90.48,19.7,22.36,2.96,3.03
F19009,89.98,14.7,26.92,3.09,2.96
F19011,94.71,8.2,13.81,3.42,3.37
F19013,91.8,14,24.22,2.8,2.79
F19015,94.16,8,14.46,3.26,3.15
F19017,96.39,5.7,17.98,3.15,3.33
F19019,93.93,12.8,10.67,3.03,3.19
F19021,77.85,12,16.17,2.91,2.98
F19023,93.53,9.1,15.33,3.04,3.18
F19025,93.92,12.3,20.55,3.29,3.39
F19027,93.3,8.1,13.75,3.18,3.12
F19029,88.87,13.9,13.18,3.2,3.29
F19031,95.39,7.5,12.84,3.01,3
F19033,93.19,13.1,22.74,2.88,2.74
F19035,92.33,10.8,30.84,3.07,2.97
F19037,93.61,10.2,8.59,3.02,3.12
F19039,85.48,15.4,11.26,2.93,2.76
F19041,94.59,10.5,24.63,3,3.53
F19043,90.18,12.7,16.56,3.18,2.98
F19045,90.4,16.4,30.61,3.11,3.18
F19047,81.81,14.4,27.74,3.01,2.78
F19049,95.54,4.5,9.56,3.44,3.57
F19051,82.08,17.2,9.66,2.6,2.69
F19053,89.8,22.8,13.96,2.87,3
F19055,90.89,9.8,9.14,3.09,3.26
F19057,92.23,18.6,35.65,3.13,3
F19059,95.91,7.9,16.29,3.27,3.11
F19061,93.27,10.4,22.86,3.07,3.13
F19063,90.81,14.1,17.31,2.49,2.67
F19065,91.63,14.5,17.21,3.09,3.29
F19067,91.95,14.3,17.31,2.89,2.71
F19069,90.39,14.9,19.73,2.9,3.08
F19071,93.96,13.2,18,2.87,2.8
F19073,93.36,12.9,18.06,3,3.05
F19075,95.09,6,13.26,3.33,3.3
F19077,93.84,10.8,19.66,3.07,3.29
F19079,93.64,10.8,16.88,3.25,3.33
F19081,92.93,10.2,16.54,2.98,3.11
F19083,92.65,12.4,24.82,3.08,3.17
F19085,92.66,11.2,17.89,3.16,2.98
F19087,92.55,13.3,19.21,2.88,3
F19089,91.2,13.4,9.07,2.9,2.69
F19091,93.7,11.3,20.55,3.36,3.51
F19093,91.99,13.6,12.5,3.49,3.7
F19095,94.43,6.8,18.71,3.23,3.16
F19097,93.09,14.9,16.27,3.12,3.05
F19099,93.81,9.7,22.13,3.08,3.06
F19101,92.26,18.3,19.39,2.97,3.37
F19103,95.73,10,18.98,3.26,3.16
F19105,93.59,10.9,21.71,2.95,2.84
F19107,93.17,17.8,14.01,3.12,3.15
F19109,93.61,11.6,15.41,3.21,3.05
F19111,93.07,16.2,20.88,2.94,2.92
F19113,94.61,9.5,23.25,3.02,3.01
F19115,84.27,11.5,12.92,2.89,2.93
F19117,92.99,21.4,16.56,2.97,2.95
F19119,91.96,7.3,9.28,3.34,3.29
F19121,95.53,8.8,12.35,3.33,3.42
F19123,91.75,11.2,20.53,3.02,3.03
F19125,93.94,8.3,15.67,3.25,3.2
F19127,85.22,12.8,20.48,2.94,2.91
F19129,93.57,10,15.31,3.06,3.25
F19131,91.95,13.9,20.45,3.1,3.19
F19133,92.54,14.2,19.19,3.27,3.02
F19135,89.83,15.1,10.61,3.21,3.22
F19137,91.84,17.4,19.25,2.98,2.93
F19139,89.07,12.5,24.37,2.95,2.9
F19141,91.83,9.8,15.47,3.02,2.87
F19143,88.15,10.9,20.03,3.12,3.5
F19145,92.6,17.2,18.2,3.11,3.09
F19147,92.72,11.6,15.76,3.25,3.32
F19149,93.6,8,13.48,3.34,3.34
F19151,89.58,14.7,18.57,3.18,3.09
F19153,92.12,13.8,24.05,2.97,2.98
F19155,89.72,11.8,26.84,2.88,2.85
F19157,93.75,11.3,16.01,3.5,3.33
F19159,93.35,21.5,23.5,3.06,2.95
F19161,92.64,14,19.09,2.99,2.78
F19163,93.53,16,25.51,3.04,3.13
F19165,91.68,9.4,11.62,3.07,2.99
F19167,91.76,6.2,9.26,3.13,3.32
F19169,96.84,7.2,16.12,3.49,3.45
F19171,91.32,15.9,22.41,2.81,3.03
F19173,90.24,14.3,13.5,3.28,3.1
F19175,90.5,16.2,17.51,2.89,2.57
F19177,89.27,23.5,8.74,3.29,3.05
F19179,87.87,18,25.75,2.63,2.74
F19181,95.91,5.5,16.56,3.14,3.24
F19183,91.62,12.4,14.9,2.88,2.8
F19185,88.9,21.3,16.91,3,3.01
F19187,91.33,10.6,24.34,2.8,2.67
F19189,93.87,12.9,21.83,3.13,2.91
F19191,96.08,8.4,18.15,3.49,3.64
F19193,87.66,12.8,26.59,2.83,2.84
F19195,93.36,11.9,10.99,3.29,3.38
F19197,92.71,15.3,28.15,2.87,2.9
F20001,92.44,19.7,32.44,3.16,2.98
F20003,89.46,15.9,23.22,3.23,3.24
F20005,92.72,14.9,14.75,3.06,3.04
F20007,92.19,18.2,21.49,2.79,2.69
F20009,88.72,15,24.61,2.98,3.08
F20011,90.63,21,13.9,2.85,2.5
F20013,92.82,16.4,24.59,2.88,2.73
F20015,92.91,9.4,15.83,3.24,3.2
F20017,93.86,12.8,18.33,3.24,3.09
F20019,85.53,25.9,23.31,3.16,3.06
F20021,88.29,19.6,24.05,3.18,3.01
F20023,93.26,20,26.44,,3.03
F20025,93.72,14.3,26.87,2.99,2.87
F20027,93.86,12.5,13.94,3.37,3.48
F20029,94.09,15.3,20.24,3.21,3.23
F20031,93.45,10.6,22.58,3.16,3.33
F20033,96.24,17.2,24.64,3.14,3.45
F20035,91.2,18.7,26.04,2.66,2.75
F20037,93.12,19.2,27.12,3.01,2.99
F20039,93.73,19.4,9.84,,
F20041,92.29,12.7,11.95,3.19,3.29
F20043,92.05,12.9,11.72,3.03,2.89
F20045,95.45,9.1,18.06,3.18,3.19
F20047,87.28,15.3,7.05,3.05,3.13
F20049,88.45,25.5,20.58,3.08,3.2
F20051,94.43,11.8,17.76,3.28,3.32
F20053,91.71,12,17.33,3.46,3.44
F20055,72.09,15.8,25.17,2.91,2.88
F20057,73.96,11.7,18.4,2.61,2.68
F20059,92.35,10.9,20.62,2.97,2.86
F20061,94.19,17.4,24.36,3.07,2.92
F20063,93.63,17.5,9.09,3.39,3.23
F20065,90.74,14.5,18.87,2.48,2.51
F20067,80.32,15,15.38,2.86,2.73
F20069,78.44,8.4,15.6,3.37,3.29
F20071,85.69,14,28.8,,2.99
F20073,92.22,20.5,29.22,3.17,3.08
F20075,76.93,15.7,9.57,2.43,2.55
F20077,90.66,18.2,24.47,3.02,2.95
F20079,90.99,10.2,17.46,3.09,3.07
F20081,72.45,15.6,11.11,2.77,2.87
F20083,88.97,8.3,14.29,,
F20085,95.03,12,23.04,3.12,3
F20087,93.91,9.4,13.36,3.02,3.08
F20089,93.93,21.9,11.82,,
F20091,96.12,4.1,15.72,3.46,3.42
F20093,77.97,13.2,24.42,,3.14
F20095,93.33,15,17.99,2.85,2.56
F20097,88.88,15.5,16.36,3.78,3.58
F20099,89.61,19.7,22.83,3.25,3.24
F20101,95.89,15.3,0.33,,
F20103,92.96,8.9,17.99,3.2,3.18
F20105,94.28,17.1,35.06,3.13,2.9
F20107,91.12,16,17.98,2.87,2.94
F20109,91.04,13.3,29.33,2.96,2.73
F20111,88.02,13.9,21.32,3.12,2.92
F20113,91.43,7.7,15.11,3.12,3.16
F20115,91.11,10.3,19.2,3.05,3.05
F20117,91.31,11.4,15.16,3.43,3.35
F20119,82.04,12.2,18.88,2.99,3.04
F20121,95.63,8.1,14.63,3.19,3.19
F20123,94.26,13.5,20.92,3.22,3.05
F20125,90.11,24.8,23.36,3.04,3.09
F20127,92.5,15.5,18.18,3.01,2.97
F20129,84.4,17.9,25.6,2.96,2.95
F20131,93.19,9,11.75,3.54,3.47
F20133,91.97,19.9,22.16,2.78,2.79
F20135,92.15,13.6,15.59,,
F20137,89.98,16.1,7.41,3.33,3.39
F20139,91.03,12.5,18.76,3.06,2.96
F20141,94.59,15.3,24.73,3.43,3.36
F20143,94.94,13.4,24.02,3,2.98
F20145,90.68,17.3,23.54,3.34,3.18
F20147,93.36,14.4,9.54,3.37,3.29
F20149,94.59,8.2,10.58,3.38,3.39
F20151,91.69,13.6,19.92,3.25,3.21
F20153,95.12,15.8,8.52,3.64,3.76
F20155,89.93,13.3,16.14,2.94,2.9
F20157,95.9,12.7,17.59,3.08,2.93
F20159,91.55,12.1,11.49,3.26,3.31
F20161,96.18,17.9,26.62,3.37,3.18
F20163,88.61,12.5,19.88,3.09,2.79
F20165,93.05,15.9,23.61,2.98,3.12
F20167,93.04,18.5,13.86,2.95,2.72
F20169,91.98,13.4,24.69,2.84,2.79
F20171,83.17,10,9.56,3.2,3.13
F20173,89.77,17.3,26.39,2.82,2.75
F20175,69.89,15,19.47,2.44,2.56
F20177,92.31,13.1,22.88,2.92,2.88
F20179,95.6,17,21.58,,2.98
F20181,90.1,18,20.48,3.41,3.52
F20183,94.77,15.2,15.97,3.49,3.31
F20185,92.86,17.2,18.54,3.01,3.15
F20187,81.65,14.7,16.87,3.32,3.54
F20189,78.27,13.4,13.26,2.88,3.02
F20191,92.95,14.2,16.45,2.88,2.8
F20193,93.12,9.3,4.55,2.75,2.75
F20195,94.14,15.4,15.96,2.82,2.64
F20197,96.3,8.6,16.73,3.39,3.39
F20199,94.7,23.3,1.01,,
F20201,93.16,11.7,11.45,3.45,3.14
F20203,88.6,14.4,12.08,2.8,3.02
F20205,89.25,18.3,28.4,2.83,2.65
F20207,92.12,21.4,22.09,3.31,3.08
F20209,80.3,24.5,32.37,2.51,2.41
F21001,82.96,33.3,13.91,2.8,2.87
F21003,83.51,23.1,26.88,3.22,3.2
F21005,90.46,13.1,21.46,2.89,2.9
F21007,88.53,22.4,23.16,2.87,2.71
F21009,83.69,25.2,28.4,3.01,2.94
F21011,79.32,33.3,30.7,3.2,3.44
F21013,73.95,38.3,27.24,2.99,2.88
F21015,93.69,8,20.41,3.15,3.07
F21017,85.57,21.6,25.67,2.96,2.74
F21019,88.04,21.9,26.71,3.13,2.95
F21021,88.72,18.3,25.72,3.28,3.19
F21023,87.19,19.9,14.41,3.06,2.96
F21025,77.45,37,34.06,2.95,2.71
F21027,86.35,22.6,26.83,3.25,3.15
F21029,88.79,11.2,24.85,3.04,3.02
F21031,81.52,22.2,19.78,2.6,2.4
F21033,87.35,23.3,32.6,3.08,3.17
F21035,90.76,17.6,23.74,3.43,3.56
F21037,92.59,11.5,24.99,3.19,3.2
F21039,85.27,23.3,19.34,3.13,2.77
F21041,80.88,23.9,37.28,2.65,2.51
F21043,79.86,23.4,20.69,3.28,3.17
F21045,73.86,32.9,23.35,3.04,3.1
F21047,86.63,21.8,30.5,2.67,2.8
F21049,86.81,20.9,30.72,3.19,3.17
F21051,66.6,47.5,32.93,3.37,3.03
F21053,75.57,31.7,26.96,2.72,2.55
F21055,84.84,26.9,26.58,2.76,2.97
F21057,82.13,31,24.69,2.99,3.12
F21059,90.47,16,24.06,3.18,3.15
F21061,78.62,22,25.93,3.36,3.25
F21063,75.7,35.5,29.31,3,2.77
F21065,73.61,28.8,30.81,2.79,2.75
F21067,91.92,16.3,26.38,3.09,3.05
F21069,79.61,23.9,18.66,3.07,3.21
F21071,77.7,40.9,29.07,3.53,3.38
F21073,90.2,18.3,28.8,2.75,2.74
F21075,80.44,38.4,52.26,3.06,2.84
F21077,82.73,19.6,24.96,2.91,
F21079,83.85,18.3,22.61,2.99,2.85
F21081,86.73,18.1,34.3,2.88,2.85
F21083,88.69,24,19.96,3.28,3.19
F21085,82.67,25.2,24.72,3.17,3.02
F21087,76.4,26,27.86,3.25,3.35
F21089,89.86,17.6,20.38,3.34,3.25
F21091,84.83,18.9,20.83,3.16,2.71
F21093,91.67,14.3,26.07,3.03,3.01
F21095,73.19,36.5,27.31,3.28,3
F21097,84.03,18.6,17.13,3.02,2.89
F21099,77.06,27.6,22.66,3.02,2.84
F21101,86.99,18.9,33.48,3.27,3.34
F21103,83.93,17.9,23.98,2.87,2.91
F21105,84.79,33.7,25.57,3.08,2.8
F21107,87.89,23.6,33.16,3.19,3.16
F21109,72.13,33.8,20.38,3.15,2.88
F21111,90.81,15.4,33.44,2.85,2.76
F21113,88.2,15.6,21.05,2.89,2.88
F21115,82.95,28,15.91,3.37,3.11
F21117,90.97,13.6,26.71,3.18,3.16
F21119,72.34,35.5,34.21,3.46,3.22
F21121,76.53,36.1,30.35,2.95,2.77
F21123,83.66,19.5,19.81,3.14,3
F21125,81.47,25.1,29.79,3.41,3.53
F21127,75.18,29.7,24.53,3.13,2.87
F21129,69.02,40.7,40.35,2.85,2.64
F21131,77.63,31.8,28.6,3.11,3.28
F21133,77.79,28.8,27.56,3.12,2.88
F21135,77.62,32.1,29.08,2.65,2.58
F21137,80.93,22.8,25.22,2.82,2.65
F21139,86.13,20.1,16.37,2.87,2.66
F21141,87.01,21.1,27.64,3.07,3.04
F21143,89.66,18.8,19.63,3.71,2.66
F21145,92.16,21.2,29.27,3.37,3.25
F21147,76.21,40.9,19.88,3.1,3.02
F21149,88.62,18,10.59,3.11,3.39
F21151,88.08,16.9,22.54,3.06,2.86
F21153,71.74,38.6,35.81,3.37,3.08
F21155,83.11,20.4,31.58,3.1,3.12
F21157,90.33,14.8,19.84,3.16,2.75
F21159,75.14,37.2,14.18,2.84,2.9
F21161,86.91,22.8,27.29,2.97,2.68
F21163,89.98,15.3,16.08,3.33,3.56
F21165,74.18,35.4,16.67,2.54,2.33
F21167,86.68,18.6,13.96,3.07,2.76
F21169,79.05,33.6,22.11,2.85,2.68
F21171,79.36,32.1,20.65,3.83,3.57
F21173,84.76,20.5,20.54,3.06,3.03
F21175,78.19,30.2,23.48,3.4,3.15
F21177,82.52,21.9,19.68,3.32,3.33
F21179,92.1,13.6,18.87,2.89,2.78
F21181,80.42,26.8,22.65,2.92,2.98
F21183,82.11,21.5,25.86,3.07,2.71
F21185,94.16,4.5,14.74,3.32,3.26
F21187,81.87,19.9,14.13,2.92,2.91
F21189,69.12,44,45.8,2.39,2.69
F21191,83.55,20.1,22.22,2.95,3.23
F21193,79.38,29.5,29.68,3.2,2.91
F21195,78.31,27.7,27.88,3.35,3.21
F21197,81.38,30.6,27.67,2.94,2.75
F21199,83.36,26.5,28.68,3.51,3.42
F21201,84.46,23.6,15.97,3.51,3.01
F21203,80.14,28.2,28.88,3.31,3.2
F21205,86.24,28.8,23.31,3.05,2.98
F21207,81.54,26.6,27.81,3.18,3.07
F21209,92.75,10.3,19.67,2.99,2.93
F21211,87,11.8,20.15,2.86,2.7
F21213,87.6,18.8,16.43,3.02,3.1
F21215,92.65,8.2,13.23,3.4,3.44
F21217,87.67,22.5,28.97,3.12,3.31
F21219,78.83,24.8,17.56,3.3,3.67
F21221,88.78,27.1,16.55,3.1,2.8
F21223,83.69,16,20,2.66,2.58
F21225,91.92,21.7,20.79,2.89,3.05
F21227,88.3,23.7,24.3,3.16,3.02
F21229,87.6,17.5,19.52,3.07,2.82
F21231,76.29,32.9,28.6,3.14,3.32
F21233,85.01,19.3,26.89,2.96,3.01
F21235,81.05,28.7,18.98,3.36,3.15
F21237,68.06,41,31.5,3.15,2.54
F21239,91.02,10.9,21,3.19,3.1
F22001,80.75,33.1,31.73,,
F22003,81.82,24.5,24,,
F22005,89.59,12.9,24.66,,
F22007,75.68,26.1,45.91,,
F22009,79.26,31,42.73,,
F22011,87,19.2,19.98,,
F22013,83.95,38,42.7,,
F22015,90.07,24.7,31.32,,
F22017,86.82,25.7,45.92,,
F22019,87.41,23.2,31.82,,
F22021,81.14,28.6,33.09,,
F22023,88.6,17.7,22.16,,
F22025,74.87,41.2,27.37,,
F22027,78.97,38.4,46.63,,
F22029,80.62,38.8,50.83,,
F22031,82.72,25.2,35.39,,
F22033,90.22,20.8,38.44,,
F22035,70.93,50.9,70.42,,
F22037,79.5,22.8,32.79,,
F22039,76.72,34.1,37.02,,
F22041,76.25,37.4,43.71,,
F22043,83.84,22.4,36.13,,
F22045,81.89,33.9,36.09,,
F22047,79.84,31.7,50.44,,
F22049,82.87,27.2,40.3,,
F22051,86.35,25.2,33.35,,
F22053,81.89,23.1,19.99,,
F22055,89.12,19.3,29.63,,
F22057,80.12,18.7,24.36,,
F22059,80.12,20.4,27.13,,
F22061,88.78,26.9,38.84,,
F22063,87.09,16,22.09,,
F22065,75.09,47.4,56.03,,
F22067,81.31,40.7,44.81,,
F22069,87.91,31.6,42.25,,
F22071,87.66,29.9,51.9,,
F22073,87.77,33.4,40.86,,
F22075,84.97,20.1,19.11,,
F22077,81.23,26.1,47.83,,
F22079,86.52,22.7,34.3,,
F22081,79.09,36.8,48.22,,
F22083,77.84,34.5,48.25,,
F22085,85.45,26,30.79,,
F22087,80.58,31.3,33.51,,
F22089,89.86,15.6,36.67,,
F22091,79.07,34.9,52.72,,
F22093,85.62,21.4,40.65,,
F22095,85.61,24.5,34.68,,
F22097,76.66,29.7,34.99,,
F22099,83.24,24.7,28.7,,
F22101,82.05,29,34.63,,
F22103,90.49,12.8,24.5,,
F22105,82.06,29.1,36.09,,
F22107,78.88,51.4,52.12,,
F22109,80.58,19.7,24.75,,
F22111,85.02,37.2,37.2,,
F22113,79.96,21.6,21.34,,
F22115,87.63,21.1,23.08,,
F22117,80.56,35.8,39.14,,
F22119,85.62,28.1,32.77,,
F22121,86.84,20.2,33.36,,
F22123,80.99,29.9,43.52,,
F22125,80.04,18.7,47.43,,
F22127,80.68,28.1,36.82,,
F23001,91.26,15.6,19.4,2.69,2.71
F23003,89.8,18.8,20.06,3.1,3.03
F23005,95.28,8.8,19.01,3.28,3.24
F23007,93.6,16.2,20.14,2.76,2.66
F23009,94.73,12.9,20.52,3,2.81
F23011,93.24,13.8,19.72,3.02,2.98
F23013,93.03,13.6,20.66,2.92,2.85
F23015,93.76,13.8,18.18,2.94,2.92
F23017,91.41,16.9,16.87,2.9,2.87
F23019,92.87,13.1,20.35,3.08,3.11
F23021,91.59,21.2,19.39,2.78,2.78
F23023,94.5,10.9,18.81,2.99,3
F23025,90.27,18.5,18.06,2.8,2.74
F23027,92.8,15.6,14.73,2.88,2.7
F23029,90.94,17.7,23.5,3.09,3.13
F23031,93.76,8.9,19.57,3.2,3.17
F24001,89.83,18.6,25.97,,
F24003,93.21,6.3,20.15,,
F24005,91.57,11.2,29.1,,
F24009,94.28,5.3,16.95,,
