FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F05067,83.24,29.6,33.69,2.98,2.93
F05069,87.4,24.7,50.13,2.29,2.17
F05071,79.83,23.6,24.92,2.82,2.65
F05073,78.98,29.5,49.84,2.62,2.47
F05075,83.65,26.1,25.24,2.79,2.72
F05077,78.2,45.4,41.68,2.08,1.77
F05079,79.31,23.2,17.28,2.38,2.41
F05081,89.77,24.4,39.23,2.84,2.7
F05083,86.66,22.2,20.58,2.88,2.89
F05085,89.89,14.2,23.5,3,3.05
F05087,84.53,25.2,23.25,2.63,2.76
F05089,86.05,27.6,21.42,2.8,2.85
F05091,85.67,24.4,42.09,2.79,2.83
F05093,82.05,28,40.43,2.56,2.54
F05095,78.86,36.5,53.71,2.25,2.08
F05097,83.06,28.3,19.59,2.87,2.74
F05099,89.52,27.8,30.36,2.48,2.45
F05101,85.97,29.8,19.27,2.39,2.33
F05103,86.2,27.9,45.57,2.65,2.59
F05105,89.31,22.7,22.77,2.97,2.67
F05107,81.57,37,61.15,2.6,2.29
F05109,85.05,24.6,15.37,2.84,2.85
F05111,80.72,28.9,31.07,2.71,2.71
F05113,85.2,28.1,22.08,3.05,2.92
F05115,84.85,17.6,25.4,3.15,2.98
F05117,85.9,24.4,24.01,2.99,2.82
F05119,91.32,22.5,37.62,2.74,2.62
F05121,84.55,23.5,23.97,2.56,2.54
F05123,81.37,39.6,52.13,2.3,2.14
F05125,91.28,10.8,21.66,3.2,3.1
F05127,79.63,27.1,27.28,2.7,2.65
F05129,80.82,34.9,18.65,3.36,3.25
F05131,84.18,24,27.26,3.03,2.85
F05133,75.75,24.5,22.56,3.16,2.95
F05135,83.49,28.7,24.04,2.92,2.91
F05137,79.43,29.1,37.75,3.24,3.22
F05139,86.39,21.8,41.51,2.74,2.53
F05141,84.79,22.6,18.22,3.09,2.85
F05143,85.52,14.7,20.25,2.98,2.86
F05145,85.78,19.1,25.02,2.93,2.79
F05147,82.57,33.1,45.14,2.85,2.85
F05149,78.32,21.6,26.18,3.03,2.98
F06001,88.82,9.1,19.2,3.07,2.99
F06003,95.31,24.5,34.52,,
F06005,91.2,13,21.51,2.71,2.49
F06007,89.71,18.7,20.99,2.73,2.55
F06009,89.71,16.1,24.07,2.69,2.36
F06011,72.83,12.9,19.02,2.79,2.63
F06013,89.9,7.9,18.86,2.98,2.84
F06015,79.72,23.4,29.49,2.46,2.15
F06017,94.03,8.8,14.74,3.08,2.88
F06019,77.28,23.1,27.28,2.87,2.72
F06021,74.49,17.2,20.95,2.48,2.26
F06023,90.61,18.8,24.59,2.76,2.56
F06025,70.19,24.9,31.15,2.63,2.49
F06027,90.52,14.6,25.52,,2.65
F06029,75.34,24.6,25.26,2.67,2.45
F06031,73.97,17.8,23.77,2.73,2.52
F06033,86.22,22.2,26.65,2.56,2.31
F06035,80.52,15.7,24.44,2.65,2.52
F06037,79.8,17.2,25.33,2.9,2.74
F06039,71.96,18.8,21.04,2.61,2.44
F06041,93.63,5.8,18.08,3.3,3.17
F06043,90.94,18.5,39.04,2.8,2.54
F06045,86.67,18.9,29.43,2.48,2.37
F06047,69.74,22.8,27.02,2.68,2.46
F06049,84.67,28.1,24.96,2.62,2.35
F06051,88.15,9.6,12.1,2.54,2.28
F06053,73,15,18.84,2.55,2.42
F06055,85.55,8.7,20.47,2.79,2.66
F06057,94.58,11,19.43,2.98,2.8
F06059,86.04,10.3,17.9,3.1,2.98
F06061,95.08,6.2,14.22,3.23,3.06
F06063,94.7,18.3,30.46,2.73,2.61
F06065,82.76,14.5,21.58,2.85,2.66
F06067,87.94,16.8,25.33,2.82,2.65
F06069,81.92,9.3,19.38,2.95,2.7
F06071,80.7,19.7,26.29,2.77,2.56
F06073,88.05,11,21.1,3.09,2.93
F06075,88.55,9.4,21.44,3.01,2.97
F06077,80.11,17.4,22.26,2.65,2.5
F06079,91.85,9.2,18.14,3.05,2.91
F06081,90.43,5.6,15.97,3.2,3.17
F06083,81.84,12.6,23.5,2.72,2.58
F06085,88.74,6.5,16.06,3.24,3.24
F06087,88.28,10.6,21.66,2.73,2.62
F06089,91.14,18.3,22.25,2.99,2.76
F06091,92.53,13.5,46.4,2.74,2.67
F06093,89.9,20.2,23.41,2.74,2.57
F06095,88.67,10.8,25.93,2.76,2.58
F06097,89.13,8.6,20.52,2.97,2.76
F06099,79.75,17.1,22.32,2.7,2.51
F06101,79.83,16.2,24.08,2.77,2.53
F06103,85.87,17.2,23.91,2.62,2.48
F06105,93.03,26.4,41.47,2.8,2.51
F06107,71.94,23,25.99,2.66,2.51
F06109,91,13.4,22.79,2.81,2.66
F06111,85.65,11.7,18.22,2.81,2.65
F06113,87.47,11.3,20.51,2.9,2.67
F06115,82.17,19.2,21.61,2.69,2.62
F08001,84.73,12.1,23.21,2.83,2.69
F08003,87.24,20.9,19.43,2.96,2.93
F08005,92.26,8.4,22.57,3.11,3.02
F08007,94.14,16.2,8.7,2.88,2.65
F08009,85.96,24,10.86,,
F08011,88.38,27.2,20.21,3.1,3.09
F08013,95.53,6.3,19.18,3.36,3.3
F08014,96.82,4.1,14.6,3.57,3.44
F08015,94.08,11.2,32.06,2.95,2.59
F08017,94.73,18.1,8.94,,
F08019,97.48,9.3,18.92,2.91,2.79
F08021,87.73,22.4,18.88,3.39,3.24
F08023,84.8,32.2,43.55,2.5,2.21
F08025,87.45,29.5,25.24,,
F08027,96.38,23.2,20.33,3.2,3.32
F08029,89.77,15.4,26.16,3.15,2.98
F08031,89.13,17.3,27.62,3.07,2.95
F08033,95.49,15.3,20.14,,
F08035,97.95,2.6,11.44,,
F08037,90.92,7.2,23.6,2.98,2.85
F08039,96.42,6.8,10.73,3.1,2.98
F08041,94.47,11.4,22.42,3.25,3.15
F08043,89.31,17.7,17.41,2.97,2.77
F08045,89.02,9.4,17.18,2.96,2.75
F08047,94.27,7.8,22.14,3.38,3.48
F08049,94.96,9,12.37,3.05,2.86
F08051,97.65,8.8,14.54,2.91,2.46
F08053,95.87,18.8,35.09,,
F08055,92.66,32.3,32.32,2.97,2.8
F08057,88.16,16.7,3.91,,
F08059,94.82,6.6,19.86,3.32,3.25
F08061,97.16,15.9,14.32,3.56,3.7
F08063,89.89,15.5,13.73,2.53,
F08065,88.7,14.1,17.05,2.39,2.33
F08067,95.97,12.2,20.04,3.03,2.66
F08069,96.19,7.6,17.29,3.41,3.32
F08071,90.5,23.4,31.03,3.18,3.07
F08073,90.05,18.3,18.78,3.12,2.97
F08075,90.49,14.7,25.66,,
F08077,90.55,13.6,25.99,2.95,2.8
F08079,98,15,10.85,,
F08081,89.92,12.1,29.83,3.07,2.72
F08083,90.54,20,25.55,2.84,2.66
F08085,88.93,15.1,19.12,2.95,2.91
F08087,79.36,12.4,21.68,2.91,2.73
F08089,89.11,24.7,22.22,2.98,2.75
F08091,98.52,8,15.02,3.19,3.16
F08093,97.69,11.3,11.87,3.15,2.98
F08095,87.73,14.9,10.92,,
F08097,96.36,5.2,25.75,3.24,3.15
F08099,80.69,21.7,21.32,2.92,2.87
F08101,90.33,17.9,31.8,2.95,2.73
F08103,91.87,10.9,17.7,2.96,2.97
F08105,87.61,19.7,23.91,2.54,2.58
F08107,95.45,6.2,14.6,3.45,3.34
F08109,85.8,29.1,26.63,2.82,2.91
