FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
13289,79.59,29,34.51,2.666301654,2.477704785
13291,89.08,21.4,18.62,3.458939662,3.279747539
13293,82.71,28,30.82,2.653127315,2.844286382
13295,83.16,18.7,28.41,3.039321391,2.697751426
13297,87.24,15.8,27.53,3.165680349,3.049299556
13299,81.46,39.8,37.94,3.137375429,2.891726927
13301,75.07,39.1,55.83,2.296971749,2.159874277
13303,84.14,28.8,49.8,2.665772166,2.548211305
13305,84.56,27.8,27.45,3.036088521,2.901521028
13307,79.58,28,27.43,2.980534214,2.264840709
13309,74.85,33.7,42.61,2.804824719,2.749687753
13311,84.73,19.5,25.16,3.386172226,3.253051503
13313,71.41,17.7,27.61,2.894763009,2.748195864
13315,83.5,31.8,46.24,2.847259517,2.992878571
13317,81.2,31.9,35.37,2.80957903,2.801158471
13319,86.13,32,37.39,2.62275084,2.744423859
13321,85.01,29.2,43.99,3.216850296,3.008204217
15001,92.88,16.1,25.61,2.642386808,2.592882193
15003,92.44,9.1,21.58,3.022209929,3.061896665
15005,98.61,,,,
15007,92.38,10.1,22.7,2.833503599,2.917739225
15009,92.3,10.6,23.74,2.951289854,2.966830087
16001,95.31,7,18.12,3.267028137,3.20903785
16003,92.79,22.3,14.43,2.350107566,2.355166609
16005,92.46,13.7,19.31,3.182592669,3.131217798
16007,93.82,11.8,17.64,2.763390099,2.916768919
16009,88.24,17.7,23.15,2.5351791,2.394006095
16011,89.42,12.2,19.37,2.929245735,2.988605421
16013,88.64,7.7,34.25,3.071188062,3.063459543
16015,93.99,17.2,12.95,3.230815855,3.317990859
16017,91.51,17.1,17.32,3.103151613,2.9476201
16019,92.32,12.5,18.21,3.027999195,2.91560849
16021,92.17,20.3,22.69,2.876208797,2.72921986
16023,91.79,17.6,15.74,3.054605337,3.151603306
16025,82.83,9.6,12.03,,
16027,86.27,12.5,15.57,3.009984174,2.850125195
16029,90.58,11.9,9.77,2.969165238,2.823547391
16031,84.93,12.5,14.87,3.004210853,3.012060995
16033,64.18,20.2,4.39,,
16035,91.87,23.6,10.41,3.084111494,3.318258243
16037,89.23,19.3,8.68,,
16039,90.61,15.5,22.93,2.764502848,2.711700607
16041,91.71,9.7,4.28,3.17219276,3.203789341
16043,88.61,17,11.01,2.900257764,2.927968896
16045,87.36,15.6,21.49,2.66220313,2.635932676
16047,80.49,16.5,19.79,2.567167503,2.503369368
16049,92.21,18.5,11.26,2.942750069,3.068834485
16051,91.15,9.8,7.74,2.863390367,2.970872392
16053,78.22,15.3,19.04,2.667020749,2.632366199
16055,93.96,9.9,17.33,3.278141211,3.197838086
16057,96.4,10.7,11.26,3.387900764,3.391592565
16059,92.03,22.3,14.82,2.914202649,2.811677285
16061,89.07,19.5,16.59,2.886292098,3.115554815
16063,79.09,15.7,23.5,2.703332791,2.879953183
16065,95.38,10.5,5.89,3.18158795,
16067,77.95,19,18.09,2.964383053,2.904377274
16069,92.67,12.7,21.82,2.94065861,2.90521656
16071,90.77,12.5,8.02,2.919917625,3.088691325
16073,74.76,19.2,22.21,2.516020943,2.587415827
16075,86.55,14.4,14.42,2.870733162,2.7575138
16077,79.86,16.8,14.99,3.235764575,2.983755344
16079,86.72,21,31.73,3.248728436,3.380032409
16081,93.11,10.1,14.08,2.904163959,2.663148184
16083,87.56,13.3,15.97,2.90868112,2.876187345
16085,91.63,11.3,11.4,3.644243115,3.431127548
16087,87.39,20,25.54,2.966158385,3.02657559
17001,92.19,13.2,18.77,2.761914332,2.73046021
17003,85.77,36.5,49.6,1.98483564,2.213442354
17005,89.94,14.7,17.73,3.022791249,3.098509184
17007,86.68,10.6,19.4,2.719810363,2.584859995
17009,82.37,11.3,16.74,2.961830805,2.860947725
17011,90.65,14.1,21.82,3.093554917,3.012772882
17013,93.62,11.9,9.86,3.472571815,3.269453784
17015,90.12,15.1,14.97,3.272300819,3.384736301
17017,83.37,15.5,19.18,2.595205807,2.597044297
17019,94.89,15.4,28.52,2.802253619,2.812365908
17021,88.24,14.9,21.14,3.019649778,2.949334956
17023,93.21,14.8,18.81,2.970788697,3.003351424
17025,87.65,18.5,16.41,3.023684068,3.115617062
17027,90.17,7.5,18.96,3.378570166,3.327584331
17029,90.94,17.5,25.81,2.779114085,2.621558686
17031,87.67,16.6,29.8,2.995323424,2.820961531
17033,86.1,14.6,17.11,2.76844838,2.839517831
17035,91.92,11.3,7.94,2.728387106,2.711949271
17037,92.14,11.2,24.05,2.820838214,2.874917638
17039,92.74,13.2,18.52,3.379041546,3.293152711
17041,83.47,11.5,12.1,3.054224584,2.920051448
17043,93.27,6.3,15.29,3.275294582,3.342589934
17045,90.01,17.6,23.82,3.026236623,2.892110402
17047,92.17,13.9,15.94,3.398162772,3.400788482
17049,93.08,11.4,18.6,3.336150699,3.040204396
17051,86.47,18.6,23.68,2.897086111,2.837061524
17053,91.17,13.5,25.24,3.191869981,3.179170529
17055,88.76,21,24.64,2.942274134,2.636513147
17057,89.34,16.5,19.17,2.823062199,2.847267197
17059,86.58,21.1,31.84,2.534905971,2.674019962
17061,92.79,17.3,24.54,3.029651462,2.88155855
17063,93.56,7.4,23.04,3.078490102,2.997892207
17065,86.51,19.1,16.35,3.199331847,3.179003735
17067,93.44,15.6,22.97,3.312353706,3.038177188
17069,86.73,27.8,15.78,2.620068449,2.914364208
17071,92,14.5,11.9,2.626251932,2.39266817
17073,92.43,12.4,25.76,2.843140745,2.875322783
17075,88.08,14,18.83,3.364935692,3.050743463
17077,92.64,24.2,35.76,2.528974059,2.546024683
17079,92.62,12.8,17.31,3.462976818,3.290774821
17081,89.06,18.8,28.28,2.85709093,2.607380942
17083,93.06,11.8,16.72,3.172568664,3.534004567
17085,92.39,11.6,19.04,3.091491901,3.418507006
17087,82.25,16.5,24.41,3.069859876,2.868300407
17089,85.67,8.9,18.9,2.745325052,2.838518574
17091,88.26,17.3,32.31,2.736868864,2.740569683
17093,92.29,4,15.03,3.253204048,3.015416731
17095,88.66,18.3,26.78,2.920657379,2.666732757
17097,90.8,8.3,17.89,3.127775866,3.092269507
17099,89.6,15.5,21.55,2.863257456,2.776188771
17101,84.96,17.7,23.95,3.064221311,2.835742645
17103,89.61,12.7,19.81,2.62450427,2.525446955
17105,89.78,12.9,26.04,2.909414545,2.880314087
17107,89.95,14.6,18,3.05885187,3.082931229
17109,95.22,18.8,13.77,2.626050142,2.38690866
17111,93.3,7.3,15.09,3.110863381,3.151311205
17113,96.23,9.8,22.23,3.073713934,3.065473613
17115,91.28,18,30.67,2.566175934,2.398578885
17117,91.56,14.5,21.82,3.025818778,2.932153073
17119,92.71,12.6,23.45,3.074174045,2.923168095
17121,89.46,20.9,25.31,2.92239648,2.635655226
17123,92.39,12.3,15.77,3.289635621,2.943168522
17125,89.11,20,17.87,2.825598803,2.92854798
17127,88.71,22.9,18.69,3.076648677,3.429598287
17129,95.25,10.8,21.26,3.1656269,2.973445608
17131,92.22,12.1,17.87,2.912315603,2.817658642
17133,95.81,3.5,11.72,3.725616885,3.688971386
17135,88.05,17.1,20.07,2.930142753,2.961175347
17137,89.81,15.1,28.79,3.244752616,2.740954853
17139,86.03,11.8,17.88,3.05707256,3.029983315
17141,90.42,11.1,17.98,2.997132683,3.140972886
17143,91.8,19.7,31.12,2.783152277,2.748873533
17145,83.25,16.5,36.57,2.962448701,2.833351366
17147,93.8,7.1,13.65,3.33073348,3.136990672
17149,89.68,18.1,26.2,3.005690805,2.464900453
17151,88.8,22.9,18.57,2.655783579,2.81840583
17153,89.64,31.6,45.33,2.173046399,2.340167793
17155,93.01,11.5,20.81,2.931243332,3.052296639
17157,84.8,15.5,24.81,2.966069135,2.997056662
17159,90.96,15.7,19.53,2.851971275,3.039931284
17161,88.86,18.8,30.39,2.647004851,2.602443605
17163,91.69,19.3,36.25,2.911138932,2.857704571
17165,87.4,21.4,26.06,2.884472695,2.436806951
17167,92.5,16.2,33.1,2.883828465,2.90580839
17169,91.04,14.6,18.75,2.598001693,2.717943246
17171,93.9,17.3,25.07,2.4236857,2.665955457
17173,93.38,12,16.95,3.395927966,3.262886153
17175,89.48,15.4,14.9,3.047491601,3.084550948
17177,92.06,17.2,31.74,2.707447931,2.65351224
17179,93.17,9.3,17.34,3.059409168,3.060170477
17181,89.2,18.6,19.29,2.919907745,2.734037745
17183,89.63,29.2,33.79,2.68381148,2.741614009
17185,91.63,13.9,27.39,2.770522881,3.081417487
17187,88.01,14.2,27.34,2.728909908,2.892246545
17189,91.64,9.1,19.44,3.284679182,3.009134782
17191,87.45,19,14.52,3.316351498,3.057614292
17193,90.86,20.4,22.81,3.002447192,2.931343757
17195,91.35,13.8,24.58,3.238059306,2.993748909
17197,91.55,9,17.89,3.125703575,3.14922396
17199,92.39,18,27.94,3.157887764,3.197185762
17201,87.81,20.1,32.15,2.527458409,2.478273413
17203,94.53,6.7,13.81,3.327807742,3.338440321
18001,85.01,20.9,13.73,2.968854401,2.993922255
18003,89.9,15.9,27.54,3.106149185,3.066706815
18005,90.04,11.1,21.69,3.113527848,3.240669777
18007,89.5,16.6,22.17,3.109259993,3.455380536
18009,91.07,19.4,21.16,3.100925629,3.205086902
18011,94.58,4.6,15.11,3.525032338,3.675870475
18013,93.36,14.5,23.67,3.284411893,3.437459097
18015,88.02,10.4,16.12,3.245127882,3.273123645
18017,85.25,14.9,26.17,2.956588372,2.993172244
18019,90.23,9.8,24.11,3.150430551,3.184797014
18021,90.78,16.7,28.69,3.392468507,3.60716784
18023,86.76,13.4,17.53,3.013865314,3.2821558
18025,82.76,23.1,17.75,3.124498413,3.580381398
18027,75.97,14.9,12.25,3.255894927,3.438041263
18029,90.27,9.5,20.36,3.311447769,3.513821105
18031,91.68,11.7,11.96,3.465304017,3.589222106
18033,91.02,11.4,19.15,2.921149018,3.13302526
18035,90.21,20.9,31.42,3.060588498,3.197779837
18037,89.38,7,16.57,3.351329322,3.679787525
18039,81.12,12.7,22.72,2.94862594,3.059345864
18041,83.46,17.7,37.15,2.889248946,2.845228537
18043,90.96,17,24.81,3.217524724,3.521411339
18045,88.72,13.2,21.73,3.345254798,3.300848008
18047,88.68,10.3,19.71,3.115594082,3.248876527
18049,86.9,19.8,18.01,2.933535394,2.986883777
18051,92.42,11.6,23.87,3.111033964,3.114575667
18053,88,23.8,28.26,2.955795196,2.943671805
18055,88.03,16.1,20.17,3.283335397,3.318044142
18057,97.13,4.6,13.66,3.61192275,3.81314275
18059,93.03,5.8,15.31,3.401305252,3.633312066
18061,89.79,11.5,17.04,3.271890432,3.434102558
18063,94.28,5.5,13.44,3.698118106,3.793050962
18065,90.24,13.2,19.84,3.287947079,3.390307938
18067,90.84,16.2,29.09,3.000010061,3.123296374
18069,91.88,11,21.61,3.193402713,3.101054633
18071,88.8,11.2,23.91,2.893833184,3.114268582
18073,89.36,10.5,16.55,3.56663692,3.450652737
18075,88.15,22.5,17.92,3.303879138,3.35098188
18077,89.31,15.9,19.3,3.145416445,3.2414017
18079,88.27,16.3,25.38,3.054485145,3.237170622
18081,91.92,7.9,20.18,3.38323719,3.467450798
18083,88.31,19,23.77,3.057561797,3.034469934
18085,86.76,10.1,24.38,3.058373493,3.196124843
18087,61.07,12.5,9.43,3.080632633,3.284678723
18089,89.13,25.2,34.18,3.039997978,3.130582545
18091,89.3,17.6,31.15,3.122845347,3.247373687
18093,89.07,15.3,23.74,3.1580345,3.120208891
18095,89.14,15.6,30.1,3.018446167,3.186917659
18097,86.74,19.1,35.73,2.786200708,2.802383399
18099,85.17,11.8,14.01,3.133281861,3.158434593
18101,87.38,14.1,16.9,3.08179423,3.468460453
18103,86.14,18.7,24.76,3.11219157,3.241950614
18105,93.03,13.7,25.37,3.396389984,3.558862984
18107,90.42,13.6,21.03,2.949496537,3.121555638
18109,88.14,11.1,20.96,3.111371123,3.261474062
18111,85.99,14.8,17.5,3.225918279,3.305362938
18113,83.85,12.8,16.02,3.018630734,3.152025766
18115,87.82,14.6,17.98,3.113233084,2.82591377
18117,83.53,18.7,32.03,3.103439839,3.164461183
18119,85.35,17,22.93,2.796559512,2.799754005
18121,83.79,20.6,21.78,3.128016962,3.431257826
18123,90.48,13.1,15.54,3.258697969,3.297853771
18125,87.72,11.4,12.69,2.943520315,3.132995938
18127,93.5,9.9,20.16,3.514487808,3.619763529
18129,92.56,10.2,15.78,3.383016258,3.629926192
18131,88.03,15.5,26.08,3.129676685,3.367470227
18133,88.92,13,16.62,3.292289993,3.514014188
18135,88.71,18.5,29.56,2.984161075,3.185020155
18137,90.22,12.3,18.94,3.273696901,3.396361989
18139,88.16,13.1,18.94,3.205420826,3.424346892
18141,89.81,16,26.84,2.914806753,2.992317518
18143,80.75,18.1,21.62,3.01438468,3.193524602
18145,88.31,11.8,19.93,3.140231872,3.492620573
18147,91.14,9.3,14.02,3.697047042,4.07434853
18149,84.94,20.2,13.11,2.88184198,3.0667801
18151,91.37,13.4,10.75,2.906559869,2.96976365
18153,88.27,18.4,23.18,3.354768863,3.451341857
18155,83.96,20.7,24.06,3.040245787,2.800187591
18157,92.11,14.5,21.34,3.294679061,3.353788251
18159,90.82,8.8,10.61,3.189804124,3.286425979
18161,87.75,15.1,23.36,3.477178769,3.482878702
18163,90.28,17.6,31.81,2.956795143,3.08480121
18165,91.69,15.9,29.24,3.165051035,3.318005031
18167,89.63,28.4,29.53,3.183195512,3.162997171
18169,89.71,13.6,27.37,3.002153519,3.093186712
18171,93.16,12.3,16.35,2.882366225,2.897584112
18173,94.13,7.5,16.3,3.520389771,3.603934555
18175,85.19,18,16.27,3.13990046,3.360529249
18177,87.79,21.8,26.72,3.063769895,3.065100807
18179,92.25,10.7,18.79,3.213441576,3.310209039
18181,89.23,13,23.67,3.10132074,3.217663612
18183,91.45,8.6,23.86,3.120370057,3.181707174
19001,95.04,14.3,17.12,2.994196358,2.856443898
19003,93.32,16,18.21,3.228045517,3.297712077
19005,88.43,16.6,12.73,3.044432139,2.970878247
19007,90.48,19.7,22.36,2.955373116,3.030147925
19009,89.98,14.7,26.92,3.094024949,2.957500201
19011,94.71,8.2,13.81,3.423752225,3.367103214
19013,91.8,14,24.22,2.796279839,2.785323581
19015,94.16,8,14.46,3.26135877,3.148332178
19017,96.39,5.7,17.98,3.153968599,3.32987062
19019,93.93,12.8,10.67,3.025579246,3.187658089
19021,77.85,12,16.17,2.912214286,2.984289843
19023,93.53,9.1,15.33,3.038590411,3.178914887
19025,93.92,12.3,20.55,3.286948898,3.393150284
19027,93.3,8.1,13.75,3.18293583,3.121353286
19029,88.87,13.9,13.18,3.200705601,3.287027306
19031,95.39,7.5,12.84,3.009480038,2.999244927
19033,93.19,13.1,22.74,2.875142879,2.743933805
19035,92.33,10.8,30.84,3.07166491,2.967719284
19037,93.61,10.2,8.59,3.01585493,3.123534851
19039,85.48,15.4,11.26,2.929495702,2.763257378
19041,94.59,10.5,24.63,2.99855034,3.527554892
19043,90.18,12.7,16.56,3.182915952,2.983999198
19045,90.4,16.4,30.61,3.109056923,3.180759289
19047,81.81,14.4,27.74,3.005886134,2.783978105
19049,95.54,4.5,9.56,3.435587862,3.573213494
19051,82.08,17.2,9.66,2.599861858,2.689950246
19053,89.8,22.8,13.96,2.865990443,2.996792193
19055,90.89,9.8,9.14,3.094540568,3.257323918
19057,92.23,18.6,35.65,3.13310913,2.997662758
19059,95.91,7.9,16.29,3.265365982,3.105985809
19061,93.27,10.4,22.86,3.070970659,3.12587145
19063,90.81,14.1,17.31,2.489313129,2.671861511
19065,91.63,14.5,17.21,3.093631169,3.287485091
19067,91.95,14.3,17.31,2.894320383,2.71204585
19069,90.39,14.9,19.73,2.89862163,3.079659487
19071,93.96,13.2,18,2.868403198,2.800414328
19073,93.36,12.9,18.06,2.995967352,3.05264255
19075,95.09,6,13.26,3.328480489,3.303940744
19077,93.84,10.8,19.66,3.067358624,3.289337895
19079,93.64,10.8,16.88,3.245127187,3.332658924
19081,92.93,10.2,16.54,2.976302817,3.113639772
19083,92.65,12.4,24.82,3.079041066,3.171386664
19085,92.66,11.2,17.89,3.158550721,2.983521798
19087,92.55,13.3,19.21,2.875603066,3.00005545
19089,91.2,13.4,9.07,2.89653843,2.685455929
19091,93.7,11.3,20.55,3.363727601,3.513555078
19093,91.99,13.6,12.5,3.494191506,3.697502142
19095,94.43,6.8,18.71,3.227027097,3.164658194
19097,93.09,14.9,16.27,3.116279022,3.045518442
19099,93.81,9.7,22.13,3.076107042,3.059603583
19101,92.26,18.3,19.39,2.972788985,3.365765744
19103,95.73,10,18.98,3.260315599,3.16457725
19105,93.59,10.9,21.71,2.946806092,2.842878247
19107,93.17,17.8,14.01,3.119585105,3.153387816
19109,93.61,11.6,15.41,3.209347304,3.047123603
19111,93.07,16.2,20.88,2.94142995,2.920464082
19113,94.61,9.5,23.25,3.022980379,3.011633515
19115,84.27,11.5,12.92,2.888808607,2.930036187
19117,92.99,21.4,16.56,2.970127568,2.950362309
19119,91.96,7.3,9.28,3.342911987,3.285220048
19121,95.53,8.8,12.35,3.331594158,3.422802878
19123,91.75,11.2,20.53,3.019945059,3.031738726
19125,93.94,8.3,15.67,3.25158516,3.200535293
19127,85.22,12.8,20.48,2.936718757,2.90916024
19129,93.57,10,15.31,3.057674775,3.245497915
19131,91.95,13.9,20.45,3.103717046,3.190736684
19133,92.54,14.2,19.19,3.272110799,3.023941763
19135,89.83,15.1,10.61,3.214531841,3.218340565
19137,91.84,17.4,19.25,2.976893903,2.928928222
19139,89.07,12.5,24.37,2.951486415,2.903023317
19141,91.83,9.8,15.47,3.020718767,2.872703307
19143,88.15,10.9,20.03,3.119723387,3.500796595
19145,92.6,17.2,18.2,3.113148414,3.092476796
19147,92.72,11.6,15.76,3.248233188,3.317164426
19149,93.6,8,13.48,3.335068355,3.337717888
19151,89.58,14.7,18.57,3.179273034,3.089308358
19153,92.12,13.8,24.05,2.972191656,2.975039078
19155,89.72,11.8,26.84,2.87952155,2.845855837
19157,93.75,11.3,16.01,3.500908996,3.327999805
19159,93.35,21.5,23.5,3.058354504,2.947831309
19161,92.64,14,19.09,2.993866849,2.776350446
19163,93.53,16,25.51,3.035763259,3.127839843
19165,91.68,9.4,11.62,3.072684184,2.993066278
19167,91.76,6.2,9.26,3.126378641,3.320114004
19169,96.84,7.2,16.12,3.494174364,3.451680003
19171,91.32,15.9,22.41,2.807155105,3.029235876
19173,90.24,14.3,13.5,3.279090906,3.095601283
19175,90.5,16.2,17.51,2.890536286,2.569250336
19177,89.27,23.5,8.74,3.293245878,3.050673747
19179,87.87,18,25.75,2.627155469,2.740881754
19181,95.91,5.5,16.56,3.139936977,3.241307197
19183,91.62,12.4,14.9,2.881085927,2.802168718
19185,88.9,21.3,16.91,2.997268486,3.005076934
19187,91.33,10.6,24.34,2.797158353,2.668144966
19189,93.87,12.9,21.83,3.131117364,2.909340681
19191,96.08,8.4,18.15,3.489774937,3.641418333
19193,87.66,12.8,26.59,2.829214632,2.837043933
19195,93.36,11.9,10.99,3.293398183,3.375676592
19197,92.71,15.3,28.15,2.868654065,2.898174426
20001,92.44,19.7,32.44,3.163011844,2.975479435
20003,89.46,15.9,23.22,3.227738671,3.236477469
20005,92.72,14.9,14.75,3.055139905,3.03629221
20007,92.19,18.2,21.49,2.793953815,2.6862511
20009,88.72,15,24.61,2.981644118,3.076604238
20011,90.63,21,13.9,2.849069488,2.495368522
20013,92.82,16.4,24.59,2.880691947,2.728656517
20015,92.91,9.4,15.83,3.239564675,3.198211589
20017,93.86,12.8,18.33,3.23528583,3.088532536
20019,85.53,25.9,23.31,3.163200421,3.055621333
20021,88.29,19.6,24.05,3.175252816,3.005200719
20023,93.26,20,26.44,,3.025120953
20025,93.72,14.3,26.87,2.993672554,2.874978828
20027,93.86,12.5,13.94,3.365972651,3.476028373
20029,94.09,15.3,20.24,3.21014951,3.229835421
20031,93.45,10.6,22.58,3.163635027,3.327139313
20033,96.24,17.2,24.64,3.141377006,3.446170461
20035,91.2,18.7,26.04,2.657688189,2.748433262
20037,93.12,19.2,27.12,3.008993799,2.985746717
20039,93.73,19.4,9.84,,
20041,92.29,12.7,11.95,3.190767459,3.292874888
20043,92.05,12.9,11.72,3.02914186,2.891950678
20045,95.45,9.1,18.06,3.17709597,3.191044886
20047,87.28,15.3,7.05,3.05434114,3.130318726
20049,88.45,25.5,20.58,3.080407711,3.203455391
20051,94.43,11.8,17.76,3.27565804,3.319550901
20053,91.71,12,17.33,3.459707573,3.437222398
20055,72.09,15.8,25.17,2.911545829,2.876544149
20057,73.96,11.7,18.4,2.611866526,2.679444177
20059,92.35,10.9,20.62,2.967817459,2.857892643
20061,94.19,17.4,24.36,3.072931862,2.921336413
20063,93.63,17.5,9.09,3.393489509,3.230943464
20065,90.74,14.5,18.87,2.477488724,2.513671457
20067,80.32,15,15.38,2.856156487,2.727687755
20069,78.44,8.4,15.6,3.373342458,3.28970654
20071,85.69,14,28.8,,2.99207407
20073,92.22,20.5,29.22,3.171100516,3.079453009
20075,76.93,15.7,9.57,2.430061678,2.548182356
20077,90.66,18.2,24.47,3.020642408,2.945074016
20079,90.99,10.2,17.46,3.085732542,3.071331861
20081,72.45,15.6,11.11,2.769943269,2.874253756
20083,88.97,8.3,14.29,,
20085,95.03,12,23.04,3.116103773,2.999493373
20087,93.91,9.4,13.36,3.019867546,3.083830213
20089,93.93,21.9,11.82,,
20091,96.12,4.1,15.72,3.461070725,3.418857518
20093,77.97,13.2,24.42,,3.135232725
20095,93.33,15,17.99,2.84751022,2.564780763
20097,88.88,15.5,16.36,3.779605486,3.584115837
20099,89.61,19.7,22.83,3.245328505,3.235742173
20101,95.89,15.3,0.33,,
20103,92.96,8.9,17.99,3.19727572,3.183987207
20105,94.28,17.1,35.06,3.130683058,2.898276811
20107,91.12,16,17.98,2.870824665,2.942760937
20109,91.04,13.3,29.33,2.958749561,2.731656983
20111,88.02,13.9,21.32,3.116927845,2.923969944
20113,91.43,7.7,15.11,3.122386247,3.164844697
20115,91.11,10.3,19.2,3.047668816,3.045698477
20117,91.31,11.4,15.16,3.433146748,3.347926076
20119,82.04,12.2,18.88,2.985999205,3.040348796
20121,95.63,8.1,14.63,3.189443411,3.190045245
20123,94.26,13.5,20.92,3.222421001,3.047502574
20125,90.11,24.8,23.36,3.036882892,3.094965303
20127,92.5,15.5,18.18,3.008675234,2.970874423
20129,84.4,17.9,25.6,2.962732984,2.95412294
20131,93.19,9,11.75,3.543753556,3.467446896
20133,91.97,19.9,22.16,2.782586419,2.788961407
20135,92.15,13.6,15.59,,
20137,89.98,16.1,7.41,3.334715455,3.393578928
20139,91.03,12.5,18.76,3.064091386,2.958321351
20141,94.59,15.3,24.73,3.429385293,3.356943959
20143,94.94,13.4,24.02,2.997529972,2.978448738
20145,90.68,17.3,23.54,3.342244661,3.177447573
20147,93.36,14.4,9.54,3.366302979,3.287308614
20149,94.59,8.2,10.58,3.378985467,3.394205344
20151,91.69,13.6,19.92,3.251217653,3.214536695
20153,95.12,15.8,8.52,3.639497107,3.755984734
20155,89.93,13.3,16.14,2.941307222,2.904393298
20157,95.9,12.7,17.59,3.077888923,2.929072095
20159,91.55,12.1,11.49,3.258153518,3.311238934
20161,96.18,17.9,26.62,3.372345751,3.180996807
20163,88.61,12.5,19.88,3.093080455,2.785128604
20165,93.05,15.9,23.61,2.98181591,3.118161666
20167,93.04,18.5,13.86,2.953370705,2.723410483
20169,91.98,13.4,24.69,2.835814232,2.785063127
20171,83.17,10,9.56,3.201098476,3.131619299
20173,89.77,17.3,26.39,2.815821807,2.746626157
20175,69.89,15,19.47,2.44308878,2.55631728
20177,92.31,13.1,22.88,2.922296847,2.877300239
20179,95.6,17,21.58,,2.981260294
20181,90.1,18,20.48,3.405207962,3.51725244
20183,94.77,15.2,15.97,3.488517342,3.307530649
20185,92.86,17.2,18.54,3.00615898,3.147589362
20187,81.65,14.7,16.87,3.320161277,3.539271013
20189,78.27,13.4,13.26,2.877702955,3.021916232
20191,92.95,14.2,16.45,2.884460538,2.799181328
20193,93.12,9.3,4.55,2.754336223,2.751039468
20195,94.14,15.4,15.96,2.819052822,2.638881876
20197,96.3,8.6,16.73,3.390196564,3.389167211
20199,94.7,23.3,1.01,,
20201,93.16,11.7,11.45,3.452565948,3.13584218
20203,88.6,14.4,12.08,2.79975327,3.015079291
20205,89.25,18.3,28.4,2.833306075,2.648419004
20207,92.12,21.4,22.09,3.313076148,3.083675095
20209,80.3,24.5,32.37,2.513287142,2.414838536
21001,82.96,33.3,13.91,2.804596169,2.873268923
21003,83.51,23.1,26.88,3.222051952,3.199159679
21005,90.46,13.1,21.46,2.886619356,2.900250551
21007,88.53,22.4,23.16,2.871354436,2.710037763
21009,83.69,25.2,28.4,3.012238201,2.941688121
21011,79.32,33.3,30.7,3.1957283,3.44082852
21013,73.95,38.3,27.24,2.99007292,2.876319923
21015,93.69,8,20.41,3.153755149,3.073651378
21017,85.57,21.6,25.67,2.960342667,2.743528712
21019,88.04,21.9,26.71,3.133730384,2.947618538
21021,88.72,18.3,25.72,3.284094542,3.189721088
21023,87.19,19.9,14.41,3.055674333,2.957709137
21025,77.45,37,34.06,2.947643131,2.709233844
21027,86.35,22.6,26.83,3.250867532,3.153183321
21029,88.79,11.2,24.85,3.040909728,3.019069605
21031,81.52,22.2,19.78,2.597091861,2.402225159
21033,87.35,23.3,32.6,3.081339004,3.173555472
21035,90.76,17.6,23.74,3.425302181,3.561383503
21037,92.59,11.5,24.99,3.193513102,3.199439036
21039,85.27,23.3,19.34,3.131066707,2.765940189
21041,80.88,23.9,37.28,2.651072195,2.509496297
21043,79.86,23.4,20.69,3.284042931,3.165748872
21045,73.86,32.9,23.35,3.044227963,3.101241339
21047,86.63,21.8,30.5,2.666551753,2.802706952
21049,86.81,20.9,30.72,3.185941656,3.172592671
21051,66.6,47.5,32.93,3.366456696,3.03291289
21053,75.57,31.7,26.96,2.719927105,2.550877027
21055,84.84,26.9,26.58,2.757165855,2.966392238
21057,82.13,31,24.69,2.989035603,3.123990999
21059,90.47,16,24.06,3.18016123,3.145516093
21061,78.62,22,25.93,3.359122458,3.254837058
21063,75.7,35.5,29.31,3.004921353,2.765078695
21065,73.61,28.8,30.81,2.785414316,2.751554262
21067,91.92,16.3,26.38,3.085770411,3.052813253
21069,79.61,23.9,18.66,3.070365494,3.212138179
21071,77.7,40.9,29.07,3.530912454,3.384925954
21073,90.2,18.3,28.8,2.746504056,2.739190444
21075,80.44,38.4,52.26,3.06202303,2.83575001
21077,82.73,19.6,24.96,2.911218115,
21079,83.85,18.3,22.61,2.994740118,2.846126211
21081,86.73,18.1,34.3,2.881290616,2.845442254
21083,88.69,24,19.96,3.280794426,3.191422807
21085,82.67,25.2,24.72,3.166564936,3.024415224
21087,76.4,26,27.86,3.254732455,3.347630806
21089,89.86,17.6,20.38,3.338702602,3.247062048
21091,84.83,18.9,20.83,3.164803361,2.705844136
21093,91.67,14.3,26.07,3.03143888,3.012081745
21095,73.19,36.5,27.31,3.277788235,2.995846856
21097,84.03,18.6,17.13,3.022443409,2.893464257
21099,77.06,27.6,22.66,3.019991109,2.841810282
21101,86.99,18.9,33.48,3.267774121,3.337245245
21103,83.93,17.9,23.98,2.865599803,2.909955648
21105,84.79,33.7,25.57,3.078861435,2.797854223
21107,87.89,23.6,33.16,3.192680902,3.162177013
21109,72.13,33.8,20.38,3.153994602,2.87812456
21111,90.81,15.4,33.44,2.847588904,2.761328174
21113,88.2,15.6,21.05,2.888663611,2.875942508
21115,82.95,28,15.91,3.373754786,3.111565298
21117,90.97,13.6,26.71,3.182891458,3.162717498
21119,72.34,35.5,34.21,3.455072029,3.221358708
21121,76.53,36.1,30.35,2.95254652,2.773637404
