FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
05047,86.08,19.9,18.12,3.194551473,3.067251386
05049,84.43,27.7,18.29,3.440610623,3.362274369
05051,89.36,22.7,32.54,2.947621973,2.922810592
05053,90.19,15.2,23.67,3.192176989,3.028381881
05055,89,21.4,27.8,2.696635757,2.584036476
05057,84,27.1,34.88,2.712630946,2.485232644
05059,87.46,22.5,25.2,2.877306853,2.734764951
05061,86.02,24.9,38.6,2.871763802,2.621412627
05063,85.55,19,21.1,2.827279732,2.726219054
05065,81.99,27.3,16.57,3.112610498,3.123282146
05067,83.24,29.6,33.69,2.980660443,2.925133878
05069,87.4,24.7,50.13,2.290235438,2.166729967
05071,79.83,23.6,24.92,2.821157409,2.645955316
05073,78.98,29.5,49.84,2.623571102,2.469461395
05075,83.65,26.1,25.24,2.788560393,2.720102383
05077,78.2,45.4,41.68,2.084555281,1.774858337
05079,79.31,23.2,17.28,2.384595735,2.408560148
05081,89.77,24.4,39.23,2.838145454,2.695056235
05083,86.66,22.2,20.58,2.876591208,2.887160163
05085,89.89,14.2,23.5,2.999718133,3.05010692
05087,84.53,25.2,23.25,2.627357395,2.761806731
05089,86.05,27.6,21.42,2.802949757,2.850804486
05091,85.67,24.4,42.09,2.786626307,2.829906142
05093,82.05,28,40.43,2.563090046,2.535289536
05095,78.86,36.5,53.71,2.246373761,2.08348826
05097,83.06,28.3,19.59,2.873404619,2.738831714
05099,89.52,27.8,30.36,2.482120081,2.447615481
05101,85.97,29.8,19.27,2.386003914,2.332356517
05103,86.2,27.9,45.57,2.650347744,2.594024375
05105,89.31,22.7,22.77,2.968336799,2.672720778
05107,81.57,37,61.15,2.597764692,2.292336859
05109,85.05,24.6,15.37,2.836880151,2.852394012
05111,80.72,28.9,31.07,2.708863729,2.712761167
05113,85.2,28.1,22.08,3.054854668,2.915903282
05115,84.85,17.6,25.4,3.152561533,2.984423972
05117,85.9,24.4,24.01,2.985841063,2.818300868
05119,91.32,22.5,37.62,2.744858875,2.615195377
05121,84.55,23.5,23.97,2.556129308,2.539545905
05123,81.37,39.6,52.13,2.298138253,2.142305531
05125,91.28,10.8,21.66,3.195947105,3.100972003
05127,79.63,27.1,27.28,2.700204709,2.648165109
05129,80.82,34.9,18.65,3.364858531,3.251175159
05131,84.18,24,27.26,3.0296078,2.853530201
05133,75.75,24.5,22.56,3.164105201,2.94624865
05135,83.49,28.7,24.04,2.919545635,2.910175904
05137,79.43,29.1,37.75,3.24181038,3.222497046
05139,86.39,21.8,41.51,2.735673973,2.529256753
05141,84.79,22.6,18.22,3.087492844,2.851535144
05143,85.52,14.7,20.25,2.975105692,2.85682783
05145,85.78,19.1,25.02,2.930942504,2.794763267
05147,82.57,33.1,45.14,2.847651044,2.849700651
05149,78.32,21.6,26.18,3.03019342,2.983277694
06001,88.82,9.1,19.2,3.067639399,2.994174285
06003,95.31,24.5,34.52,,
06005,91.2,13,21.51,2.707644594,2.486090305
06007,89.71,18.7,20.99,2.728592212,2.549332175
06009,89.71,16.1,24.07,2.687896643,2.361358548
